Sr.no,Year,Mo,Dy,Hr,Mn,Sec,TsunamiNanEventNanValidity,TsunamiNanCauseNanCode,EarthquakeNanMagnitude,Vol,MoreNanInfo,Deposits,Country,LocationNanName,Latitude,Longitude,MaximumNanWaterNanHeightNan(m),NumberNanofNanRunups,TsunamiNanMagnitudeNan(Abe),TsunamiNanMagnitudeNan(Iida),TsunamiNanIntensity,Deaths,DeathNanDescription,Missing,MissingNanDescription,Injuries,InjuriesNanDescription,DamageNan($Mil),DamageNanDescription,HousesNanDestroyed,HousesNanDestroyedNanDescription,HousesNanDamaged,HousesNanDamagedNanDescription,TotalNanDeaths,TotalNanDeathNanDescription,TotalNanMissing,TotalNanMissingNanDescription,TotalNanInjuries,TotalNanInjuriesNanDescription,TotalNanDamageNan($Mil),TotalNanDamageNanDescription,TotalNanHousesNanDestroyed,TotalNanHousesNanDestroyedNanDescription,TotalNanHousesNanDamaged,TotalNanHousesNanDamagedNanDescription
118,1909,3,7,,,,2,1,,,,0,COOKNanISLANDS,RAROTONGA,-21,-159,3,3,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
119,1909,3,12,23,19,,4,1,6.7,,,0,JAPAN,OFFNanBOSONanPENINSULA,34.5,141.5,,1,,-1,,,,,,,,,,,,,,,,,,,,,1,,,,
120,1909,3,13,14,29,,4,1,7.5,,,0,JAPAN,OFFNanBOSONanPENINSULA,34.5,141.5,,1,,-1,,,,,,,,,,,,,,,,,,,,,1,,,,
121,1909,4,8,0,30,,2,0,,,,0,RUSSIA,BLACKNanSEA,44.2,38.1,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,1909,6,3,18,40,48,2,1,7.6,,,0,INDONESIA,SUMATRA,-2,101,,4,,0.5,1,,,,,,,,,,,,,,3,,,,,,3,,3,,
123,1909,6,8,5,46,30,0,1,7.6,,,0,CHILE,NORTHERNNanCHILE,-26.5,-70.5,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1909,7,8,,,,1,1,,,,0,VANUATU,VANUATUNanISLANDS,-15.5,167.2,,1,,,,,,,,,,,,,,,,,,,,,,,2,,3,,
125,1909,7,30,10,51,54,2,1,7.4,,,0,MEXICO,S.NanMEXICO,16.8,-99.8,9,1,,3.2,,,,,,,,,,,,,,,,,,,,,3,,3,,
126,1909,8,14,6,30,0,4,1,6.9,,,0,JAPAN,"ANEGAWA,NanJAPAN",35.4,136.3,1.8,1,,1,,,,,,,,,,,,,,41,1,,,,,,3,976,3,,
127,1909,9,20,,,,-1,9,,,,0,USA,LOUISIANA:NanGRANDNanISLE,,,,1,,,,300,3,,,,,,,,,,,300,3,,,,,,,,,,
